logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,2.726,1.82,0.783,,,,9.65,2.767,1.849,0.808,,,,9.7,2.819,1.894,0.848
9.6,2.723,1.815,0.777,,,,9.65,2.765,1.845,0.802,,,,9.7,2.815,1.891,0.846
9.6,2.721,1.809,0.77,,,,9.65,2.762,1.839,0.795,,,,9.7,2.812,1.888,0.843
9.6,2.719,1.803,0.761,,,,9.65,2.76,1.833,0.787,,,,9.7,2.81,1.885,0.84
9.6,2.717,1.795,0.752,,,,9.65,2.758,1.826,0.777,,,,9.7,2.81,1.885,0.84
9.6,2.714,1.787,0.741,,,,9.65,2.756,1.817,0.766,,,,9.7,2.807,1.881,0.836
9.6,2.712,1.776,0.726,,,,9.65,2.754,1.807,0.752,,,,9.7,2.805,1.877,0.831
9.6,2.709,1.762,0.707,,,,9.65,2.752,1.796,0.737,,,,9.7,2.803,1.872,0.825
9.6,2.707,1.748,0.687,,,,9.65,2.75,1.783,0.719,,,,9.7,2.801,1.867,0.818
9.6,2.704,1.72,0.649,,,,9.65,2.747,1.753,0.677,,,,9.7,2.799,1.86,0.809
9.6,2.7,1.668,0.576,,,,9.65,2.743,1.701,0.604,,,,9.7,2.797,1.853,0.8
9.6,2.695,1.611,0.498,,,,9.65,2.739,1.648,0.531,,,,9.7,2.795,1.844,0.788
9.6,2.691,1.553,0.416,,,,9.65,2.736,1.595,0.458,,,,9.7,2.793,1.835,0.775
9.6,2.689,1.5,0.343,,,,9.65,2.735,1.54,0.381,,,,9.7,2.79,1.828,0.766
9.6,2.687,1.447,0.269,,,,9.65,2.734,1.488,0.306,,,,9.7,2.789,1.815,0.748
9.6,2.686,1.396,0.196,,,,9.65,2.734,1.438,0.236,,,,9.7,2.787,1.781,0.7
9.6,2.687,1.349,0.13,,,,9.65,2.735,1.392,0.17,,,,9.7,2.783,1.727,0.625
9.6,2.687,1.343,0.122,,,,9.65,2.729,1.374,0.144,,,,9.7,2.78,1.674,0.552
9.6,2.687,1.342,0.121,,,,9.65,2.729,1.373,0.143,,,,9.7,2.779,1.624,0.48
9.6,2.663,1.289,0.04,,,,9.65,2.714,1.34,0.093,,,,9.7,2.778,1.569,0.403
9.6,2.641,1.245,-0.026,,,,9.65,2.686,1.283,0.008,,,,9.7,2.778,1.516,0.329
9.6,2.628,1.219,-0.063,,,,9.65,2.664,1.242,-0.053,,,,9.7,2.779,1.467,0.258
9.6,2.617,1.199,-0.092,,,,9.65,2.65,1.217,-0.088,,,,9.7,2.776,1.421,0.191
9.6,2.616,1.197,-0.095,,,,9.65,2.662,1.239,-0.056,,,,9.7,2.768,1.402,0.163
9.6,2.626,1.218,-0.064,,,,9.65,2.686,1.286,0.014,,,,9.7,2.767,1.402,0.162
9.6,2.641,1.248,-0.019,,,,9.65,2.7,1.312,0.052,,,,9.7,2.752,1.368,0.112
9.6,2.652,1.269,0.012,,,,9.65,2.681,1.272,-0.008,,,,9.7,2.723,1.31,0.024
9.6,2.659,1.282,0.03,,,,9.65,2.654,1.22,-0.086,,,,9.7,2.698,1.263,-0.044
9.6,2.645,1.252,-0.014,,,,9.65,2.624,1.166,-0.163,,,,9.7,2.688,1.246,-0.068
9.6,2.619,1.202,-0.089,,,,9.65,2.59,1.113,-0.239,,,,9.7,2.707,1.281,-0.016
9.6,2.59,1.148,-0.168,,,,9.65,2.555,1.059,-0.313,,,,9.7,2.729,1.325,0.048
9.6,2.558,1.093,-0.246,,,,9.65,2.518,1.005,-0.388,,,,9.7,2.736,1.336,0.065
9.6,2.523,1.04,-0.321,,,,9.65,2.479,0.952,-0.46,,,,9.7,2.714,1.292,-0.002
9.6,2.487,0.986,-0.395,,,,9.65,2.45,0.901,-0.53,,,,9.7,2.685,1.238,-0.082
9.6,2.45,0.932,-0.469,,,,9.65,2.46,0.857,-0.594,,,,9.7,2.654,1.184,-0.159
9.6,2.412,0.88,-0.54,,,,9.65,2.468,0.818,-0.653,,,,9.7,2.619,1.13,-0.234
9.6,2.402,0.831,-0.608,,,,9.65,2.491,0.787,-0.705,,,,9.7,2.583,1.076,-0.309
9.6,2.413,0.789,-0.67,,,,9.65,2.564,0.805,-0.709,,,,9.7,2.545,1.022,-0.382
9.6,2.436,0.759,-0.723,,,,9.65,2.582,0.78,-0.752,,,,9.7,2.506,0.969,-0.454
9.6,2.507,0.771,-0.735,,,,9.65,2.589,0.748,-0.8,,,,9.7,2.504,0.924,-0.52
9.6,2.523,0.743,-0.78,,,,9.65,2.593,0.722,-0.839,,,,9.7,2.514,0.883,-0.58
9.6,2.53,0.709,-0.831,,,,9.65,2.6,0.698,-0.877,,,,9.7,2.524,0.844,-0.638
9.6,2.535,0.68,-0.875,,,,9.65,2.607,0.684,-0.901,,,,9.7,2.559,0.821,-0.684
9.6,2.541,0.654,-0.914,,,,9.65,2.614,0.677,-0.915,,,,9.7,2.622,0.839,-0.685
9.6,2.549,0.632,-0.95,,,,9.65,2.623,0.673,-0.925,,,,9.7,2.641,0.815,-0.727
9.6,2.554,0.623,-0.965,,,,9.65,2.627,0.683,-0.913,,,,9.7,2.645,0.787,-0.768
9.6,2.562,0.619,-0.976,,,,9.65,2.634,0.696,-0.898,,,,9.7,2.651,0.763,-0.805
9.6,2.569,0.617,-0.982,,,,9.65,2.639,0.721,-0.869,,,,9.7,2.659,0.744,-0.837
9.6,2.573,0.627,-0.97,,,,9.65,2.645,0.758,-0.822,,,,9.7,2.666,0.737,-0.851
9.6,2.579,0.64,-0.956,,,,9.65,2.651,0.798,-0.771,,,,9.7,2.675,0.73,-0.865
9.6,2.584,0.665,-0.925,,,,9.65,2.658,0.867,-0.682,,,,9.7,2.68,0.736,-0.86
9.6,2.59,0.701,-0.88,,,,9.65,2.667,0.945,-0.582,,,,9.7,2.686,0.749,-0.845
9.6,2.596,0.747,-0.821,,,,9.65,2.677,1.061,-0.435,,,,9.7,2.693,0.771,-0.819
9.6,2.603,0.824,-0.721,,,,9.65,2.691,1.18,-0.285,,,,9.7,2.699,0.809,-0.772
9.6,2.614,0.918,-0.601,,,,9.65,2.697,1.272,-0.169,,,,9.7,2.706,0.849,-0.722
9.6,2.624,1.024,-0.468,,,,9.65,2.696,1.233,-0.219,,,,9.7,2.711,0.908,-0.645
9.6,2.623,0.988,-0.514,,,,9.65,2.696,1.219,-0.236,,,,9.7,2.719,0.981,-0.551
9.6,2.625,1.029,-0.462,,,,9.65,2.688,1.085,-0.406,,,,9.7,2.73,1.083,-0.421
9.6,2.624,1.019,-0.474,,,,9.65,2.697,1.22,-0.236,,,,9.7,2.743,1.201,-0.272
9.6,2.623,1.006,-0.491,,,,9.65,2.695,1.184,-0.281,,,,9.7,2.756,1.337,-0.102
9.6,2.622,0.985,-0.517,,,,9.65,2.694,1.163,-0.308,,,,9.7,2.764,1.418,-0.002
9.6,2.622,0.974,-0.531,,,,9.65,2.696,1.185,-0.28,,,,9.7,2.761,1.333,-0.109
9.6,2.623,0.999,-0.5,,,,9.65,2.699,1.23,-0.224,,,,9.7,2.754,1.221,-0.249
9.6,2.625,1.023,-0.469,,,,9.65,2.703,1.288,-0.15,,,,9.7,2.753,1.199,-0.277
9.6,2.627,1.048,-0.437,,,,9.65,2.709,1.377,-0.04,,,,9.7,2.749,1.136,-0.359
9.6,2.63,1.076,-0.401,,,,9.65,2.718,1.476,0.084,,,,9.7,2.757,1.253,-0.21
9.6,2.634,1.122,-0.344,,,,9.65,2.73,1.662,0.325,,,,9.7,2.756,1.236,-0.23
9.6,2.638,1.192,-0.256,,,,9.65,2.745,1.87,0.596,,,,9.7,2.758,1.273,-0.184
9.6,2.643,1.25,-0.183,,,,9.65,2.75,2.019,0.79,,,,9.7,2.764,1.367,-0.066
9.6,2.644,1.203,-0.243,,,,9.65,2.761,2.181,0.997,,,,9.7,2.771,1.474,0.067
9.6,2.656,1.305,-0.116,,,,9.65,2.766,2.265,1.099,,,,9.7,2.78,1.611,0.242
9.6,2.677,1.661,0.341,,,,9.65,2.767,2.265,1.099,,,,9.7,2.793,1.787,0.471
9.6,2.69,1.896,0.647,,,,9.65,2.717,1.178,-0.294,,,,9.7,2.805,1.95,0.682
9.6,2.69,1.896,0.647,,,,9.65,2.688,0.905,-0.641,,,,9.7,2.81,2.096,0.872
9.6,2.634,0.914,-0.612,,,,9.65,2.61,0.646,-0.958,,,,9.7,2.821,2.258,1.079
9.6,2.608,0.728,-0.85,,,,9.65,2.622,0.666,-0.936,,,,9.7,2.831,2.397,1.247
9.6,2.516,0.563,-1.033,,,,9.65,2.68,0.815,-0.758,,,,9.7,2.837,2.474,1.338
9.6,2.531,0.574,-1.026,,,,9.65,2.73,1.21,-0.255,,,,9.7,2.784,1.338,-0.107
9.6,2.596,0.664,-0.93,,,,9.65,2.769,1.791,0.485,,,,9.7,2.751,1.008,-0.525
9.6,2.647,0.954,-0.563,,,,9.65,2.781,2.171,0.98,,,,9.7,2.673,0.715,-0.888
9.6,2.68,1.411,0.012,,,,9.65,2.789,2.363,1.215,,,,9.7,2.688,0.738,-0.863
9.6,2.704,1.841,0.571,,,,9.65,2.795,2.456,1.326,,,,9.7,2.745,0.927,-0.63
9.6,2.707,2.043,0.834,,,,9.65,2.803,2.515,1.397,,,,9.7,2.8,1.394,-0.039
9.6,2.716,2.163,0.987,,,,9.65,2.79,1.743,0.417,,,,9.7,2.842,2.015,0.758
9.6,2.723,2.234,1.072,,,,9.65,2.751,1.123,-0.373,,,,9.7,2.854,2.384,1.228
9.6,2.705,1.444,0.05,,,,9.65,2.689,0.758,-0.835,,,,9.7,2.863,2.574,1.455
9.6,2.673,0.943,-0.584,,,,9.65,2.697,0.786,-0.801,,,,9.7,2.868,2.639,1.515
9.6,2.608,0.663,-0.934,,,,9.65,2.74,0.993,-0.539,,,,9.7,2.874,2.676,1.544
9.6,2.617,0.678,-0.918,,,,9.65,2.783,1.487,0.085,,,,9.7,2.871,1.964,0.683
9.6,2.661,0.828,-0.733,,,,9.65,2.81,2.082,0.858,,,,9.7,2.823,1.258,-0.218
9.6,2.699,1.22,-0.233,,,,9.65,2.818,2.434,1.297,,,,9.7,2.758,0.852,-0.734
9.6,2.729,1.785,0.49,,,,9.65,2.82,2.588,1.465,,,,9.7,2.769,0.884,-0.694
9.6,2.734,2.143,0.957,,,,9.65,2.821,2.638,1.501,,,,9.7,2.815,1.131,-0.381
9.6,2.738,2.321,1.175,,,,9.65,2.824,2.671,1.525,,,,9.7,2.863,1.707,0.346
9.6,2.74,2.406,1.276,,,,9.65,2.829,2.05,0.811,,,,9.7,2.889,2.312,1.135
9.6,2.745,2.458,1.337,,,,9.65,2.794,1.346,-0.097,,,,9.7,2.897,2.647,1.532
9.6,2.74,1.745,0.435,,,,9.65,2.738,0.873,-0.698,,,,9.7,2.895,2.751,1.604
9.6,2.707,1.126,-0.356,,,,9.65,2.747,0.902,-0.663,,,,9.7,2.898,2.805,1.643
9.6,2.652,0.74,-0.847,,,,9.65,2.785,1.177,-0.312,,,,9.7,2.902,2.833,1.661
9.6,2.659,0.764,-0.817,,,,9.65,2.828,1.779,0.454,,,,9.7,2.909,2.263,1.067
9.6,2.696,0.966,-0.561,,,,9.65,2.846,2.345,1.186,,,,9.7,2.874,1.522,0.107
9.6,2.733,1.454,0.056,,,,9.65,2.848,2.637,1.511,,,,9.7,2.815,0.984,-0.576
9.6,2.756,2.033,0.809,,,,9.65,2.846,2.736,1.579,,,,9.7,2.824,1.03,-0.517
9.6,2.763,2.376,1.238,,,,9.65,2.846,2.777,1.605,,,,9.7,2.867,1.351,-0.109
9.6,2.764,2.527,1.404,,,,9.65,2.849,2.799,1.62,,,,9.7,2.919,2.052,0.786
9.6,2.764,2.574,1.437,,,,9.65,2.864,2.318,1.151,,,,9.7,2.932,2.586,1.462
9.6,2.766,2.603,1.459,,,,9.65,2.835,1.588,0.201,,,,9.7,2.93,2.816,1.663
9.6,2.772,2.02,0.788,,,,9.65,2.777,0.992,-0.553,,,,9.7,2.927,2.899,1.713
9.6,2.742,1.337,-0.094,,,,9.65,2.785,1.033,-0.5,,,,9.7,2.929,2.939,1.737
9.6,2.69,0.834,-0.735,,,,9.65,2.824,1.368,-0.076,,,,9.7,2.933,2.965,1.754
9.6,2.697,0.865,-0.696,,,,9.65,2.87,2.054,0.805,,,,9.7,2.953,2.561,1.427
9.6,2.732,1.133,-0.354,,,,9.65,2.883,2.578,1.461,,,,9.7,2.925,1.826,0.487
9.6,2.772,1.722,0.396,,,,9.65,2.878,2.783,1.624,,,,9.7,2.862,1.136,-0.388
9.6,2.79,2.28,1.117,,,,9.65,2.873,2.857,1.666,,,,9.7,2.872,1.192,-0.317
9.6,2.791,2.571,1.446,,,,9.65,2.874,2.894,1.688,,,,9.7,2.916,1.609,0.207
9.6,2.788,2.669,1.512,,,,9.65,2.878,2.917,1.702,,,,9.7,2.96,2.324,1.132
9.6,2.789,2.711,1.541,,,,9.65,2.901,2.572,1.451,,,,9.7,2.973,2.796,1.665
9.6,2.791,2.732,1.553,,,,9.65,2.879,1.88,0.571,,,,9.7,2.968,2.964,1.771
9.6,2.805,2.287,1.124,,,,9.65,2.815,1.124,-0.389,,,,9.7,2.962,3.035,1.811
9.6,2.779,1.58,0.206,,,,9.65,2.824,1.184,-0.314,,,,9.7,2.96,3.065,1.829
9.6,2.721,0.948,-0.593,,,,9.65,2.866,1.599,0.206,,,,9.7,2.965,3.088,1.843
9.6,2.729,0.986,-0.544,,,,9.65,2.907,2.301,1.117,,,,9.7,3,2.812,1.685
9.6,2.766,1.319,-0.123,,,,9.65,2.919,2.752,1.617,,,,9.7,2.984,2.174,0.927
9.6,2.811,1.992,0.741,,,,9.65,2.912,2.914,1.718,,,,9.7,2.915,1.334,-0.146
9.6,2.824,2.511,1.391,,,,9.65,2.906,2.982,1.756,,,,9.7,2.928,1.407,-0.056
9.6,2.82,2.719,1.559,,,,9.65,2.905,3.013,1.774,,,,9.7,2.979,1.933,0.611
9.6,2.816,2.794,1.603,,,,9.65,2.913,3.036,1.788,,,,9.7,3.02,2.633,1.502
9.6,2.817,2.832,1.625,,,,9.65,2.944,2.788,1.65,,,,9.7,3.026,2.984,1.81
9.6,2.821,2.855,1.64,,,,9.65,2.93,2.189,0.963,,,,9.7,3.012,3.117,1.885
9.6,2.844,2.56,1.445,,,,9.65,2.864,1.318,-0.152,,,,9.7,3.016,3.188,1.927
9.6,2.827,1.902,0.616,,,,9.65,2.875,1.388,-0.066,,,,9.7,3.04,3.237,1.967
9.6,2.758,1.095,-0.411,,,,9.65,2.924,1.91,0.598,,,,9.7,3.054,3.267,1.994
9.6,2.767,1.152,-0.34,,,,9.65,2.963,2.585,1.456,,,,9.7,3.064,3.038,1.857
9.6,2.81,1.563,0.175,,,,9.65,2.967,2.925,1.749,,,,9.7,3.057,2.548,1.391
9.6,2.85,2.256,1.075,,,,9.65,2.953,3.055,1.823,,,,9.7,2.992,1.633,0.215
9.6,2.862,2.698,1.56,,,,9.65,2.966,3.13,1.867,,,,9.7,3.01,1.741,0.348
9.6,2.857,2.859,1.661,,,,9.65,2.987,3.176,1.904,,,,9.7,3.068,2.348,1.131
9.6,2.853,2.93,1.701,,,,9.65,3.003,3.206,1.93,,,,9.7,3.107,2.956,1.821
9.6,2.858,2.965,1.722,,,,9.65,3.003,2.992,1.803,,,,9.7,3.106,3.209,1.981
9.6,2.869,2.993,1.74,,,,9.65,2.999,2.538,1.391,,,,9.7,3.123,3.35,2.083
9.6,2.89,2.774,1.622,,,,9.65,2.934,1.602,0.19,,,,9.7,3.171,3.446,2.176
9.6,2.878,2.225,1.025,,,,9.65,2.949,1.699,0.309,,,,9.7,3.229,3.516,2.244
9.6,2.814,1.314,-0.144,,,,9.65,3.002,2.28,1.061,,,,9.7,3.286,3.576,2.298
9.6,2.824,1.392,-0.047,,,,9.65,3.039,2.874,1.741,,,,9.7,3.173,3.323,2.071
9.6,2.876,1.921,0.625,,,,9.65,3.038,3.125,1.9,,,,9.7,3.185,3.002,1.873
9.6,2.913,2.571,1.447,,,,9.65,3.056,3.264,1.995,,,,9.7,3.121,2.116,0.803
9.6,2.917,2.888,1.704,,,,9.65,3.102,3.358,2.081,,,,9.7,3.143,2.253,0.977
9.6,2.906,3.018,1.778,,,,9.65,3.157,3.425,2.145,,,,9.7,3.198,2.828,1.696
9.6,2.932,3.103,1.833,,,,9.65,3.208,3.481,2.196,,,,9.7,3.238,3.264,2.057
9.6,2.96,3.155,1.876,,,,9.65,3.093,3.241,1.989,,,,9.7,3.267,3.493,2.217
9.6,2.982,3.192,1.908,,,,9.65,3.11,2.942,1.808,,,,9.7,3.396,3.68,2.394
9.6,2.957,2.995,1.785,,,,9.65,3.056,2.082,0.78,,,,9.7,3.618,3.868,2.554
9.6,2.962,2.622,1.499,,,,9.65,3.076,2.212,0.944,,,,9.7,3.83,4.018,2.66
9.6,2.899,1.664,0.277,,,,9.65,3.124,2.751,1.62,,,,9.7,4.053,4.155,2.738
9.6,2.914,1.773,0.416,,,,9.65,3.156,3.17,1.971,,,,9.7,29.72,29.983,30.032
9.6,2.964,2.33,1.137,,,,9.65,3.171,3.386,2.117,,,,,,,
9.6,2.999,2.877,1.729,,,,9.65,3.283,3.567,2.287,,,,,,,
9.6,2.994,3.106,1.87,,,,9.65,3.454,3.731,2.441,,,,,,,
9.6,3.037,3.26,1.983,,,,9.65,3.613,3.862,2.549,,,,,,,
9.6,3.113,3.371,2.087,,,,9.65,3.773,3.984,2.644,,,,,,,
9.6,3.188,3.452,2.161,,,,9.65,29.72,29.983,30.032,,,,,,,
9.6,3.244,3.514,2.219,,,,,,,,,,,,,,
9.6,3.07,3.263,1.998,,,,,,,,,,,,,,
9.6,3.085,3.006,1.843,,,,,,,,,,,,,,
9.6,3.038,2.214,0.959,,,,,,,,,,,,,,
9.6,3.053,2.314,1.085,,,,,,,,,,,,,,
9.6,3.107,2.846,1.734,,,,,,,,,,,,,,
9.6,3.134,3.194,1.973,,,,,,,,,,,,,,
9.6,3.173,3.417,2.137,,,,,,,,,,,,,,
9.6,3.363,3.64,2.348,,,,,,,,,,,,,,
9.6,3.657,3.882,2.553,,,,,,,,,,,,,,
9.6,3.974,4.116,2.737,,,,,,,,,,,,,,
9.6,5.059,4.829,3.241,,,,,,,,,,,,,,
9.6,29.72,29.983,30.032,,,,,,,,,,,,,,
